6.18	6.22	6.04
6.16	6.32	6.19
6.08	6.38	6.3
6.15	6.25	6.17
6.08	6.51	6.32
6.49	6.83	6.57
7	7.31	6.72
7	7.29	6.69
7.13	7.77	7.16
7.04	7.57	7.1
7.19	7.65	7.14
7.72	8.1	7.65
7.91	8.24	7.8
7.16	7.79	7.24
6.71	7.15	7.07
6.48	7.39	7.39
7.04	7.94	7.91
6.74	7.84	7.84
6.47	7.56	7.46
6.41	7.46	7.53
6.24	7.12	7.39
5.93	6.96	7.33
5.29	6.25	6.84
4.86	5.75	6.39
4.49	5.6	6.24
3.77	5.07	6.11
3.32	4.5	5.7
3.78	5.22	5.83
4.14	5.97	6.39
4.7	6.32	6.52
5.4	6.74	6.73
5.08	6.35	6.58
4.67	5.89	6.14
4.49	5.56	5.93
4.19	5.35	5.81
4.02	5.27	5.93
3.4	5.14	5.95
3.18	5.25	6.08
3.72	5.56	6.07
3.72	5.88	6.19
3.65	5.55	6.13
3.87	5.64	6.11
4.06	5.78	6.11
4.01	5.79	6.21
4.65	6.06	6.55
4.72	6.05	6.48
4.77	5.94	6.28
5.06	6.01	6.36
5.31	6.27	6.46
5.56	6.58	6.64
6.05	6.86	6.71
6.29	6.78	6.67
6.35	6.83	6.85
7.19	6.83	6.9
8.02	7.54	7.13
8.67	7.89	7.4
8.48	7.25	7.09
7.16	6.81	6.79
7.87	7	6.73
7.36	6.81	6.74
7.76	6.96	6.99
7.06	6.76	6.96
7.99	7.35	7.21
8.23	8.05	7.51
8.43	8.27	7.58
8.14	8.15	7.54
7.75	8.41	7.81
8.74	8.66	8.04
8.36	8.41	8.04
7.24	8	7.9
7.59	7.61	7.68
7.18	7.24	7.43
6.49	7.23	7.5
5.58	6.65	7.39
5.54	6.81	7.73
5.69	7.76	8.23
5.32	7.39	8.06
5.19	7.17	7.86
6.16	7.72	8.06
6.46	8.16	8.4
6.38	8.29	8.43
6.08	7.81	8.15
5.47	7.46	8.05
5.5	7.43	8
4.96	6.99	7.74
4.85	7.06	7.79
5.05	7.13	7.73
4.88	6.84	7.56
5.19	7.27	7.9
5.44	7.32	7.86
5.28	7.12	7.83
5.15	6.86	7.77
5.07	6.66	7.59
4.93	6.24	7.41
4.75	6.09	7.29
4.35	5.68	6.87
4.6	6.22	7.21
4.66	6.44	7.39
4.61	6.47	7.46
4.54	6.32	7.37
4.94	6.55	7.46
5	6.39	7.28
5.15	6.51	7.33
5.5	6.79	7.4
5.77	6.84	7.34
6.19	7.19	7.52
6.16	7.22	7.58
6.06	7.3	7.69
6.45	7.61	7.96
6.46	7.67	8.03
6.32	7.7	8.04
6.31	7.85	8.15
6.43	8.07	8.35
6.71	8.3	8.46
7.07	8.54	8.64
7.04	8.33	8.41
7.84	8.41	8.42
8.13	8.62	8.64
8.79	9.04	8.81
9.12	9.33	9.01
9.35	9.5	9.1
9.27	9.13	9.1
9.46	9.38	9.12
9.49	9.43	9.18
9.59	9.42	9.25
9.05	8.95	8.91
9.26	8.94	8.95
9.45	9.14	9.03
10.18	9.69	9.33
11.47	10.95	10.3
11.87	11.18	10.65
12.07	10.71	10.39
12.04	10.88	10.8
12.81	12.84	12.41
15.53	14.05	12.75
14	12.02	11.47
9.15	9.44	10.18
7	8.91	9.78
8.13	9.27	10.25
9.26	10.63	11.1
10.32	11.57	11.51
11.58	12.01	11.75
13.89	13.31	12.68
15.66	13.65	12.84
14.72	13.01	12.57
14.91	13.65	13.19
13.48	13.51	13.12
13.64	14.09	13.68
16.3	15.08	14.1
14.56	14.29	13.47
14.7	15.15	14.28
15.61	16	14.94
14.95	16.22	15.32
13.87	15.5	15.15
11.27	13.11	13.39
10.93	13.66	13.72
12.41	14.64	14.59
13.78	14.73	14.43
12.49	14.13	13.86
12.82	14.18	13.87
12.15	13.77	13.62
12.11	14.48	14.3
11.91	14	13.95
9.01	12.62	13.06
